"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"860Z200US60004","ZCTA5 60004","52546",
"860Z200US60005","ZCTA5 60005","30221",
"860Z200US60007","ZCTA5 60007","33670",
"860Z200US60008","ZCTA5 60008","22760",
"860Z200US60010","ZCTA5 60010","46365",
"860Z200US60015","ZCTA5 60015","28013",
"860Z200US60016","ZCTA5 60016","61888",
"860Z200US60018","ZCTA5 60018","30051",
"860Z200US60022","ZCTA5 60022","8482",
"860Z200US60025","ZCTA5 60025","41256",
"860Z200US60026","ZCTA5 60026","14518",
"860Z200US60029","ZCTA5 60029","514",
"860Z200US60043","ZCTA5 60043","2514",
"860Z200US60053","ZCTA5 60053","25297",
"860Z200US60056","ZCTA5 60056","57177",
"860Z200US60062","ZCTA5 60062","42751",
"860Z200US60067","ZCTA5 60067","39324",
"860Z200US60068","ZCTA5 60068","39672",
"860Z200US60070","ZCTA5 60070","15840",
"860Z200US60074","ZCTA5 60074","37705",
"860Z200US60076","ZCTA5 60076","34295",
"860Z200US60077","ZCTA5 60077","28856",
"860Z200US60089","ZCTA5 60089","43227",
"860Z200US60090","ZCTA5 60090","39017",
"860Z200US60091","ZCTA5 60091","28053",
"860Z200US60093","ZCTA5 60093","20691",
"860Z200US60103","ZCTA5 60103","41740",
"860Z200US60104","ZCTA5 60104","18829",
"860Z200US60107","ZCTA5 60107","39535",
"860Z200US60120","ZCTA5 60120","50799",
"860Z200US60126","ZCTA5 60126","48147",
"860Z200US60130","ZCTA5 60130","14346",
"860Z200US60131","ZCTA5 60131","18205",
"860Z200US60133","ZCTA5 60133","37494",
"860Z200US60141","ZCTA5 60141","131",
"860Z200US60153","ZCTA5 60153","23512",
"860Z200US60154","ZCTA5 60154","16895",
"860Z200US60155","ZCTA5 60155","8011",
"860Z200US60160","ZCTA5 60160","24776",
"860Z200US60162","ZCTA5 60162","8337",
"860Z200US60163","ZCTA5 60163","5285",
"860Z200US60164","ZCTA5 60164","22367",
"860Z200US60165","ZCTA5 60165","4576",
"860Z200US60169","ZCTA5 60169","34248",
"860Z200US60171","ZCTA5 60171","10612",
"860Z200US60172","ZCTA5 60172","24560",
"860Z200US60173","ZCTA5 60173","13764",
"860Z200US60176","ZCTA5 60176","11714",
"860Z200US60192","ZCTA5 60192","16550",
"860Z200US60193","ZCTA5 60193","40805",
"860Z200US60194","ZCTA5 60194","20622",
"860Z200US60195","ZCTA5 60195","5150",
"860Z200US60201","ZCTA5 60201","44652",
"860Z200US60202","ZCTA5 60202","33245",
"860Z200US60203","ZCTA5 60203","4634",
"860Z200US60208","ZCTA5 60208","213",
"860Z200US60301","ZCTA5 60301","3043",
"860Z200US60302","ZCTA5 60302","33698",
"860Z200US60304","ZCTA5 60304","17842",
"860Z200US60305","ZCTA5 60305","11710",
"860Z200US60402","ZCTA5 60402","64706",
"860Z200US60406","ZCTA5 60406","24011",
"860Z200US60409","ZCTA5 60409","36045",
"860Z200US60411","ZCTA5 60411","53515",
"860Z200US60415","ZCTA5 60415","14433",
"860Z200US60418","ZCTA5 60418","10813",
"860Z200US60419","ZCTA5 60419","21409",
"860Z200US60422","ZCTA5 60422","9927",
"860Z200US60423","ZCTA5 60423","32784",
"860Z200US60425","ZCTA5 60425","8781",
"860Z200US60426","ZCTA5 60426","24114",
"860Z200US60428","ZCTA5 60428","11351",
"860Z200US60429","ZCTA5 60429","14683",
"860Z200US60430","ZCTA5 60430","20146",
"860Z200US60438","ZCTA5 60438","29661",
"860Z200US60439","ZCTA5 60439","24327",
"860Z200US60443","ZCTA5 60443","21309",
"860Z200US60445","ZCTA5 60445","14692",
"860Z200US60449","ZCTA5 60449","8961",
"860Z200US60452","ZCTA5 60452","27363",
"860Z200US60453","ZCTA5 60453","58362",
"860Z200US60455","ZCTA5 60455","17098",
"860Z200US60456","ZCTA5 60456","4343",
"860Z200US60457","ZCTA5 60457","14420",
"860Z200US60458","ZCTA5 60458","14504",
"860Z200US60459","ZCTA5 60459","29451",
"860Z200US60461","ZCTA5 60461","4785",
"860Z200US60462","ZCTA5 60462","40539",
"860Z200US60463","ZCTA5 60463","14048",
"860Z200US60464","ZCTA5 60464","9982",
"860Z200US60465","ZCTA5 60465","18530",
"860Z200US60466","ZCTA5 60466","21904",
"860Z200US60467","ZCTA5 60467","26098",
"860Z200US60469","ZCTA5 60469","5469",
"860Z200US60471","ZCTA5 60471","13155",
"860Z200US60472","ZCTA5 60472","4671",
"860Z200US60473","ZCTA5 60473","21661",
"860Z200US60475","ZCTA5 60475","9969",
"860Z200US60476","ZCTA5 60476","2388",
"860Z200US60477","ZCTA5 60477","37335",
"860Z200US60478","ZCTA5 60478","16893",
"860Z200US60480","ZCTA5 60480","5272",
"860Z200US60482","ZCTA5 60482","11216",
"860Z200US60487","ZCTA5 60487","26388",
"860Z200US60501","ZCTA5 60501","11746",
"860Z200US60513","ZCTA5 60513","19514",
"860Z200US60521","ZCTA5 60521","18199",
"860Z200US60523","ZCTA5 60523","10347",
"860Z200US60525","ZCTA5 60525","32613",
"860Z200US60526","ZCTA5 60526","13810",
"860Z200US60527","ZCTA5 60527","29139",
"860Z200US60534","ZCTA5 60534","10749",
"860Z200US60546","ZCTA5 60546","16819",
"860Z200US60558","ZCTA5 60558","13629",
"860Z200US60601","ZCTA5 60601","15814",
"860Z200US60602","ZCTA5 60602","1261",
"860Z200US60603","ZCTA5 60603","1288",
"860Z200US60604","ZCTA5 60604","897",
"860Z200US60605","ZCTA5 60605","34071",
"860Z200US60606","ZCTA5 60606","3797",
"860Z200US60607","ZCTA5 60607","31816",
"860Z200US60608","ZCTA5 60608","75770",
"860Z200US60609","ZCTA5 60609","65770",
"860Z200US60610","ZCTA5 60610","43794",
"860Z200US60611","ZCTA5 60611","38456",
"860Z200US60612","ZCTA5 60612","34402",
"860Z200US60613","ZCTA5 60613","53048",
"860Z200US60614","ZCTA5 60614","73173",
"860Z200US60615","ZCTA5 60615","43502",
"860Z200US60616","ZCTA5 60616","54013",
"860Z200US60617","ZCTA5 60617","77270",
"860Z200US60618","ZCTA5 60618","90316",
"860Z200US60619","ZCTA5 60619","63303",
"860Z200US60620","ZCTA5 60620","66514",
"860Z200US60621","ZCTA5 60621","29570",
"860Z200US60622","ZCTA5 60622","55075",
"860Z200US60623","ZCTA5 60623","87649",
"860Z200US60624","ZCTA5 60624","37547",
"860Z200US60625","ZCTA5 60625","76525",
"860Z200US60626","ZCTA5 60626","50548",
"860Z200US60628","ZCTA5 60628","62832",
"860Z200US60629","ZCTA5 60629","114453",
"860Z200US60630","ZCTA5 60630","54064",
"860Z200US60631","ZCTA5 60631","29691",
"860Z200US60632","ZCTA5 60632","92237",
"860Z200US60633","ZCTA5 60633","13359",
"860Z200US60634","ZCTA5 60634","75694",
"860Z200US60636","ZCTA5 60636","34800",
"860Z200US60637","ZCTA5 60637","53555",
"860Z200US60638","ZCTA5 60638","56928",
"860Z200US60639","ZCTA5 60639","89543",
"860Z200US60640","ZCTA5 60640","65941",
"860Z200US60641","ZCTA5 60641","69354",
"860Z200US60642","ZCTA5 60642","21687",
"860Z200US60643","ZCTA5 60643","47831",
"860Z200US60644","ZCTA5 60644","47239",
"860Z200US60645","ZCTA5 60645","48356",
"860Z200US60646","ZCTA5 60646","28383",
"860Z200US60647","ZCTA5 60647","85631",
"860Z200US60649","ZCTA5 60649","48171",
"860Z200US60651","ZCTA5 60651","62819",
"860Z200US60652","ZCTA5 60652","40898",
"860Z200US60653","ZCTA5 60653","33146",
"860Z200US60654","ZCTA5 60654","23890",
"860Z200US60655","ZCTA5 60655","27837",
"860Z200US60656","ZCTA5 60656","28474",
"860Z200US60657","ZCTA5 60657","72316",
"860Z200US60659","ZCTA5 60659","40579",
"860Z200US60660","ZCTA5 60660","42534",
"860Z200US60661","ZCTA5 60661","11987",
"860Z200US60706","ZCTA5 60706","24327",
"860Z200US60707","ZCTA5 60707","43241",
"860Z200US60712","ZCTA5 60712","13463",
"860Z200US60714","ZCTA5 60714","31006",
"860Z200US60803","ZCTA5 60803","22189",
"860Z200US60804","ZCTA5 60804","85673",
"860Z200US60805","ZCTA5 60805","19945",
"860Z200US60827","ZCTA5 60827","24936",
