RIDERSHIP_STATION_NAME,STATION_NAME
18th,18th(PinkLine)
35-Bronzeville-IIT,35th-Bronzeville-IIT(GreenLine)
35th/Archer,35th/Archer(OrangeLine)
43rd,43rd(GreenLine)
47th-Dan Ryan,47th(RedLine)
47th-South Elevated,47th(GreenLine)
51st,51st(GreenLine)
54th/Cermak,54th/Cermak(PinkLine)
63rd-Dan Ryan,63rd(RedLine)
69th,69th(RedLine)
79th,79th(RedLine)
87th,87th(RedLine)
95th/Dan Ryan,95th/DanRyan(RedLine)
Adams/Wabash,"Adams/Wabash(Brown,Green,Orange,Pink&Purplelines)"
Addison-Brown,Addison(BrownLine)
Addison-North Main,Addison(RedLine)
Addison-O'Hare,Addison(BlueLine)
Argyle,Argyle(RedLine)
Armitage,Armitage(Brown&Purplelines)
Ashland-Lake,Ashland(Green&Pinklines)
Ashland-Orange,Ashland(OrangeLine)
Ashland/63rd,Ashland/63rd(GreenLine)
Austin-Forest Park,Austin(BlueLine)
Austin-Lake,Austin(GreenLine)
Belmont-North Main,"Belmont(Red,Brown&Purplelines)"
Belmont-O'Hare,Belmont(BlueLine)
Berwyn,Berwyn(RedLine)
Bryn Mawr,BrynMawr(RedLine)
California-Cermak,California(PinkLine)
California-Lake,California(GreenLine)
California/Milwaukee,California(BlueLine)
Central Park,CentralPark(PinkLine)
Central-Evanston,Central(PurpleLine)
Central-Lake,Central(GreenLine)
Cermak-Chinatown,Cermak-Chinatown(RedLine)
Cermak-McCormick Place,Cermak-McCormickPlace(GreenLine)
Chicago/Franklin,Chicago(Brown&Purplelines)
Chicago/Milwaukee,Chicago(BlueLine)
Chicago/State,Chicago(RedLine)
Cicero-Cermak,Cicero(PinkLine)
Cicero-Forest Park,Cicero(BlueLine)
Cicero-Lake,Cicero(GreenLine)
Clark/Division,Clark/Division(RedLine)
Clark/Lake,"Clark/Lake(Blue,Brown,Green,Orange,Purple&Pinklines)"
Clinton-Forest Park,Clinton(BlueLine)
Clinton-Lake,Clinton(Green&Pinklines)
Conservatory,Conservatory(GreenLine)
Cumberland,Cumberland(BlueLine)
Damen-Brown,Damen(BrownLine)
Damen-Cermak,Damen(PinkLine)
Damen/Milwaukee,Damen(BlueLine)
Davis,Davis(PurpleLine)
Dempster,Dempster(PurpleLine)
Dempster-Skokie,Dempster-Skokie(YellowLine)
Diversey,Diversey(Brown&Purplelines)
Division/Milwaukee,Division(BlueLine)
East 63rd-Cottage Grove,CottageGrove(GreenLine)
Forest Park,ForestPark(BlueLine)
Foster,Foster(PurpleLine)
Francisco,Francisco(BrownLine)
Fullerton,"Fullerton(Red,Brown&Purplelines)"
Garfield-Dan Ryan,Garfield(RedLine)
Garfield-South Elevated,Garfield(GreenLine)
Grand/Milwaukee,Grand(BlueLine)
Grand/State,Grand(RedLine)
Granville,Granville(RedLine)
Halsted-Orange,Halsted(OrangeLine)
Halsted/63rd,Halsted(GreenLine)
Harlem-Forest Park,Harlem(BlueLine-ForestParkBranch)
Harlem-Lake,Harlem/Lake(GreenLine)
Harlem-O'Hare,Harlem(BlueLine-O'HareBranch)
Harrison,Harrison(RedLine)
Homan,
Howard,"Howard(Red,Purple&Yellowlines)"
,
Indiana,Indiana(GreenLine)
Irving Park-Brown,IrvingPark(BrownLine)
Irving Park-O'Hare,IrvingPark(BlueLine)
Jackson/Dearborn,Jackson(BlueLine)
Jackson/State,Jackson(RedLine)
Jarvis,Jarvis(RedLine)
Jefferson Park,JeffersonPark(BlueLine)
Kedzie-Brown,Kedzie(BrownLine)
Kedzie-Cermak,Kedzie(PinkLine)
Kedzie-Homan-Forest Park,Kedzie-Homan(BlueLine)
Kedzie-Lake,Kedzie(GreenLine)
Kedzie-Midway,Kedzie(OrangeLine)
Kimball,Kimball(BrownLine)
King Drive,KingDrive(GreenLine)
Kostner,Kostner(PinkLine)
LaSalle,LaSalle(BlueLine)
LaSalle/Van Buren,"LaSalle/VanBuren(Brown,Orange,Purple&Pinklines)"
Lake/State,Lake(RedLine)
Laramie,Laramie(GreenLine)
Lawrence,Lawrence(RedLine)
Library,
Linden,Linden(PurpleLine)
Logan Square,LoganSquare(BlueLine)
Loyola,Loyola(RedLine)
Madison/Wabash,
Main,Main(PurpleLine)
Medical Center,IllinoisMedicalDistrict(BlueLine)
Merchandise Mart,MerchandiseMart(Brown&Purplelines)
Midway Airport,Midway(OrangeLine)
Monroe/Dearborn,Monroe(BlueLine)
Monroe/State,Monroe(RedLine)
Montrose-Brown,Montrose(BrownLine)
Montrose-O'Hare,Montrose(BlueLine)
Morgan-Lake,Morgan(Green&Pinklines)
Morse,Morse(RedLine)
North/Clybourn,North/Clybourn(RedLine)
Noyes,Noyes(PurpleLine)
O'Hare Airport,O'Hare(BlueLine)
Oak Park-Forest Park,OakPark(BlueLine)
Oak Park-Lake,OakPark(GreenLine)
Oakton-Skokie,Oakton-Skokie(YellowLine)
Paulina,Paulina(BrownLine)
Polk,Polk(PinkLine)
Pulaski-Cermak,Pulaski(PinkLine)
Pulaski-Forest Park,Pulaski(BlueLine)
Pulaski-Lake,Pulaski(GreenLine)
Pulaski-Orange,Pulaski(OrangeLine)
Quincy/Wells,"Quincy/Wells(Brown,Orange,Purple&Pinklines)"
Racine,Racine(BlueLine)
Randolph/Wabash,
Ridgeland,Ridgeland(GreenLine)
Rockwell,Rockwell(BrownLine)
