STATION_NAME,STATION_DESCRIPTIVE_NAME,zip_code,latitude,longitude
Cicero,Cicero(PinkLine),60804,41.85182,-87.745336
Central Park,CentralPark(PinkLine),60623,41.853839,-87.714842
Halsted,Halsted(GreenLine),60621,41.778943,-87.644244
Cumberland,Cumberland(BlueLine),60631,41.984246,-87.838028
Racine,Racine(BlueLine),60607,41.87592,-87.659458
Paulina,Paulina(BrownLine),60613,41.943623,-87.670907
18th,18th(PinkLine),60608,41.857908,-87.669147
Clark/Lake,"Clark/Lake(Blue,Brown,Green,Orange,Purple&Pinklines)",60695,41.885737,-87.630886
Jefferson Park,JeffersonPark(BlueLine),60630,41.970634,-87.760892
Diversey,Diversey(Brown&Purplelines),60657,41.932732,-87.653131
Montrose,Montrose(BrownLine),60640,41.961756,-87.675047
UIC-Halsted,UIC-Halsted(BlueLine),60607,41.875474,-87.649707
35th-Bronzeville-IIT,35th-Bronzeville-IIT(GreenLine),60616,41.831677,-87.625826
Foster,Foster(PurpleLine),60201,42.05416,-87.68356
Quincy/Wells,"Quincy/Wells(Brown,Orange,Purple&Pinklines)",60606,41.878723,-87.63374
Southport,Southport(BrownLine),60657,41.943744,-87.663619
Loyola,Loyola(RedLine),60626,42.001073,-87.661061
47th,47th(RedLine),60609,41.810318,-87.63094
Bryn Mawr,BrynMawr(RedLine),60660,41.983504,-87.65884
Harlem,Harlem(BlueLine-ForestParkBranch),60130,41.87349,-87.806961
Howard,"Howard(Red,Purple&Yellowlines)",60626,42.019063,-87.672892
Kedzie,Kedzie(GreenLine),60612,41.884321,-87.706155
King Drive,KingDrive(GreenLine),60621,41.78013,-87.615546
Ashland/63rd,Ashland/63rd(GreenLine),60636,41.77886,-87.663766
95th/Dan Ryan,95th/DanRyan(RedLine),60620,41.722377,-87.624342
Western,Western(BlueLine-O'HareBranch),60647,41.916157,-87.687364
Armitage,Armitage(Brown&Purplelines),60614,41.918217,-87.652644
Roosevelt,"Roosevelt(Red,Orange&Greenlines)",60605,41.867368,-87.627402
Belmont,"Belmont(Red,Brown&Purplelines)",60657,41.939751,-87.65338
